created_at,serial_number,manufacturer,contract_number,contract_rank,bank_code,itp,registration_number,legal_name,application,currency_code,mcc,ert,cb_version,timezone,reconciliation_number,reconciliation_code,credits_number,debits_number,debits_reversal_number,non_completed_number,credits_amount,debits_amount,debits_reversal_amount,transaction_count,pos_remittance_number,transfer_code,local_transaction_datetime,amount,authorization_number,authorization_code,type,aid,terminal_verification_results,rfut_code,rfut_label,message_to_initiator,error_fields,field_conversions,payment_facilitator,application_selection_indicator,selected_brand,audit_number,transaction_number,legal_infos_uuid,legal_infos_registration_number,legal_infos_head_office_registration_number,legal_infos_branch_number,legal_infos_normalized_address_l1,legal_infos_normalized_address_l2,legal_infos_normalized_address_l3,legal_infos_normalized_address_l4,legal_infos_normalized_address_l5,legal_infos_normalized_address_l6,legal_infos_normalized_address_l7,legal_infos_postal_code,legal_infos_business_postal_code,legal_infos_city_name,legal_infos_is_head_office,legal_infos_business_name,legal_infos_branch_business_sector_code,legal_infos_branch_business_sector_label,legal_infos_company_long_name,legal_infos_acronym,legal_infos_civility,legal_infos_forname,legal_infos_lastname,legal_infos_email,legal_infos_phone,legal_infos_head_office_branch_number,legal_infos_legal_nature_code,legal_infos_legal_nature_label,legal_infos_company_business_sector_code,legal_infos_company_business_sector_label,legal_infos_creation_date,legal_infos_update_date,date,time
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 20:19:00,7.5,,,DEBIT,A0000000421010,,,,,,,,0.0,,19,19,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,20:19:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 13:13:00,25.4,,,DEBIT,A0000000421010,,,,,,,,0.0,,12,12,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,13:13:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 14:54:00,44.8,,,DEBIT,A0000000421010,,,,,,,,0.0,,16,16,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,14:54:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 17:15:00,46.4,,,DEBIT,A0000000421010,,,,,,,,0.0,,17,17,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,17:15:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 21:41:00,35.4,334335,0.0,DEBIT,A0000000421010,,,,,,,,0.0,,24,24,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,21:41:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 21:23:00,14.0,,,DEBIT,A0000000421010,,,,,,,,0.0,,23,23,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,21:23:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 21:08:00,21.3,,,DEBIT,A0000000421010,,,,,,,,0.0,,22,22,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,21:08:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 19:24:00,18.9,,,DEBIT,A0000000421010,,,,,,,,0.0,,18,18,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,19:24:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 13:05:00,45.3,,,DEBIT,A0000000421010,,,,,,,,0.0,,11,11,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,13:05:00
2019-11-07 05:06:31.00202+00,401153046,VERIFONE,2930787,1,30002,118000000000.0,84000000000000.0,BLOCK'OUT,CBEMV,978,7991,10,CB5.5,,285117,RECONCILED_TOTALS_CORRECT,0,22,0,2,0,451.45,0,24,235,0,2019-06-11 13:03:00,14.65,,5.0,TNA,A0000000041010,Transaction exceeds floor limit,8.0,Error during PIN verification offline,,,,,0.0,,10,10,d73fd777-6ac9-44ff-aedf-50f7a7c83d56,84000000000000.0,840058762.0,13.0,BLOCK'OUT,,,1 RUE DES VERGERS,,69760 LIMONEST,FRANCE,69760.0,,LIMONEST,True,,93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,BLOCK'OUT,,,,,,,13.0,5710.0,"SAS, soci̩t̩ par actions simplifi̩e",93.29Z,Autres activit̩s r̩cr̩atives et de loisirs,03-05-2018,,2019-06-11,13:03:00
